provider_id,source_serial,county_city,district,provider_name,service_hours_raw,emergency_available,outpatient_available,service_type,patient_note,source_version,source_last_update,source_url,source_page,extraction_date,verification_status
TW-PEP-060,60,臺中市,西區,昭安泌尿科診所,"門診時段(陳昭安醫師)：週一 9:00-12:00、14:30-17:30；週二 14:30-17:30、19:00-21:00；週三、週四、週五 9:00-12:00、14:30-17:30、19:00-21:00；週六 9:00-12:00
門診時段(李嘉文醫師)：週一 19:00-21:00；週二 9:00-12:00",no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-061,61,臺中市,西屯區,澄清綜合醫院中港分院,感染科門診：週三 09:00-11:30,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-062,62,臺中市,西屯區,禾蓮診所,門診時段：週一 13:00-21:00；週二、週三、週四、週五 09:00-17:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-063,63,臺中市,西屯區,醫鄰診所,門診時段：週一、週三 08:30-12:00、17:00-20:00；週二、週四、週六、週日 08:30-12:00；週五08:30-12:00、14:00-20:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-064,64,臺中市,西屯區,懿安泌尿科診所,門診時段：週一、週二、週四 09:00-12:00、14:00-17:00、18:00-21:00；週五 09:00-12:00、18:00-21:00；週六 09:00-12:00、14:00-17:00；週日 09:00-12:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-065,65,臺中市,北屯區,臺中市立老人復健綜合醫院,門診時段：週一、週三08:30-12:00；週三13:30-17:00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-066,66,臺中市,梧棲區,童綜合醫療社團法人童綜合紀念醫院,感染科門診：週一至週五08:30-12:00；週一、週四14:00-17:30；週一至週四18:00-21:00,yes,no,急診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-067,67,臺中市,沙鹿區,光田醫療社團法人光田綜合醫院,感染科門診：(1) 向上院區：週一、週二、週四、週五 13:30~17:30；(2) 大甲院區：週四、週五 08:00~12:00；週一、週二 13:30~17:30； 週二 18:00-21:00 (夜間門診),no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-068,68,臺中市,南屯區,安昱診所,門診時段：週一至週六 09:00-13：00；週一至週五 15:00--20：00,no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
TW-PEP-069,69,臺中市,南屯區,瑞和診所,門診時段：週一、週三至週日 09:00-12:00；週一、週三至週日 15:00-18:00、18:00-21:00 (每週二公休),no,yes,門診,服務時間與看診方式可能異動，出發前請先電話或官網確認；若接近72小時，優先尋求可即時評估的急診或醫療院所。,非職業暴露愛滋病毒後預防性投藥急門診服務時間表(113年調查_1150624更新),2026-06-24,https://www.cdc.gov.tw/File/Get/qG_HXT0vfyI-veQ-BXVe0w,https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg,2026-07-31,source_extracted_not_phone_verified
